old_path,new_path,reason,last_commit
src/python/analysis/analisar_tempo_data.py,legacy/python/analysis/analisar_tempo_data.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/analisar_tempo_execucao.py,legacy/python/analysis/analisar_tempo_execucao.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/analyze_ablation.py,legacy/python/analysis/analyze_ablation.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/analyze_ivfspea2v2_tuning_head_to_head.py,legacy/python/analysis/analyze_ivfspea2v2_tuning_head_to_head.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/analyze_sensitivity_multiclass.py,legacy/python/analysis/analyze_sensitivity_multiclass.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/analyze_v4_plan_a.py,legacy/python/analysis/analyze_v4_plan_a.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/audit_hosts_trace_coverage.py,legacy/python/analysis/audit_hosts_trace_coverage.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",0de9dd1 2026-04-17
src/python/analysis/computational_overhead.py,legacy/python/analysis/computational_overhead.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/diagnose_wfg2.py,legacy/python/analysis/diagnose_wfg2.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/explore_dominance_by_host.py,legacy/python/analysis/explore_dominance_by_host.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",0de9dd1 2026-04-17
src/python/analysis/gen_gif.py,legacy/python/analysis/gen_gif.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/generate_readable_front_figures.py,legacy/python/analysis/generate_readable_front_figures.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",9f3e210 2026-03-27
src/python/analysis/gerar_csv_metricas.py,legacy/python/analysis/gerar_csv_metricas.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/git_top10.py,legacy/python/analysis/git_top10.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/inspect_mat.py,legacy/python/analysis/inspect_mat.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/mat_to_python_HV.py,legacy/python/analysis/mat_to_python_HV.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/mat_to_python_IGD.py,legacy/python/analysis/mat_to_python_IGD.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/platemo_script.py,legacy/python/analysis/platemo_script.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/plot_front_comparison_panel.py,legacy/python/analysis/plot_front_comparison_panel.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",9f3e210 2026-03-27
src/python/analysis/plot_ivf_competence_summary.py,legacy/python/analysis/plot_ivf_competence_summary.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",9f3e210 2026-03-27
src/python/analysis/plot_pareto_algorithm_panels.py,legacy/python/analysis/plot_pareto_algorithm_panels.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",9f3e210 2026-03-27
src/python/analysis/plot_suite_performance_lines.py,legacy/python/analysis/plot_suite_performance_lines.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/scatter_igd_runtime_dtlz7.py,legacy/python/analysis/scatter_igd_runtime_dtlz7.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/scatter_igd_runtime_dtlz7_detailed.py,legacy/python/analysis/scatter_igd_runtime_dtlz7_detailed.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/scatter_igd_runtime_dtlz7_v2.py,legacy/python/analysis/scatter_igd_runtime_dtlz7_v2.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
src/python/analysis/summarize_controller_comparison.py,legacy/python/analysis/summarize_controller_comparison.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",e3f8d94 2026-03-27
src/python/analysis/visualize_phase3_comparison.py,legacy/python/analysis/visualize_phase3_comparison.py,"unreachable: not named by any Makefile, launcher, doc or test, not imported by a live script, and not a producer of any needed input",a07ca76 2026-03-17
