Phase,ConfigID,ProblemTag,Folder,FolderExists,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,PrefixMismatch,MetricChecked,MetricMissing,Status
B,B01,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_ZDT1_M2,True,30,30,0,0,0,30,0,OK
B,B01,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_ZDT6_M2,True,30,30,0,0,0,30,0,OK
B,B01,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_WFG4_M2,True,30,30,0,0,0,30,0,OK
B,B01,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_WFG9_M2,True,30,30,0,0,0,30,0,OK
B,B01,DTLZ1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_DTLZ1_M3,True,30,30,0,0,0,30,0,OK
B,B01,DTLZ2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_DTLZ2_M3,True,30,30,0,0,0,30,0,OK
B,B01,DTLZ4_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_DTLZ4_M3,True,30,30,0,0,0,30,0,OK
B,B01,DTLZ7_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_DTLZ7_M3,True,30,30,0,0,0,30,0,OK
B,B01,WFG2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_WFG2_M3,True,30,30,0,0,0,30,0,OK
B,B01,WFG5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_WFG5_M3,True,30,30,0,0,0,30,0,OK
B,B01,MaF1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_MaF1_M3,True,30,30,0,0,0,30,0,OK
B,B01,MaF5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B01_MaF5_M3,True,30,30,0,0,0,30,0,OK
B,B02,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B02_ZDT1_M2,True,30,30,0,0,0,30,0,OK
B,B02,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B02_ZDT6_M2,True,30,30,0,0,0,30,0,OK
B,B02,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B02_WFG4_M2,True,30,30,0,0,0,30,0,OK
B,B02,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseB/IVFSPEA2V2_B02_WFG9_M2,True,30,30,0,0,0,30,0,OK
