Phase,ConfigID,ProblemTag,Folder,FolderExists,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,PrefixMismatch,MetricChecked,MetricMissing,Status
A,A01,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_ZDT1_M2,True,30,30,0,0,0,30,0,OK
A,A01,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_ZDT6_M2,True,30,30,0,0,0,30,0,OK
A,A01,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_WFG4_M2,True,30,30,0,0,0,30,0,OK
A,A01,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_WFG9_M2,True,30,30,0,0,0,30,0,OK
A,A01,DTLZ1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_DTLZ1_M3,True,30,30,0,0,0,30,0,OK
A,A01,DTLZ2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_DTLZ2_M3,True,30,30,0,0,0,30,0,OK
A,A01,DTLZ4_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_DTLZ4_M3,True,30,30,0,0,0,30,0,OK
A,A01,DTLZ7_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_DTLZ7_M3,True,30,30,0,0,0,30,0,OK
A,A01,WFG2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_WFG2_M3,True,30,30,0,0,0,30,0,OK
A,A01,WFG5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_WFG5_M3,True,30,30,0,0,0,30,0,OK
A,A01,MaF1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_MaF1_M3,True,30,30,0,0,0,30,0,OK
A,A01,MaF5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_MaF5_M3,True,30,30,0,0,0,30,0,OK
A,A02,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_ZDT1_M2,True,30,30,0,0,0,30,0,OK
A,A02,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_ZDT6_M2,True,30,30,0,0,0,30,0,OK
A,A02,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_WFG4_M2,True,30,30,0,0,0,30,0,OK
A,A02,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_WFG9_M2,True,30,30,0,0,0,30,0,OK
A,A02,DTLZ1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_DTLZ1_M3,True,30,30,0,0,0,30,0,OK
A,A02,DTLZ2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_DTLZ2_M3,True,30,30,0,0,0,30,0,OK
A,A02,DTLZ4_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_DTLZ4_M3,True,30,30,0,0,0,30,0,OK
A,A02,DTLZ7_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_DTLZ7_M3,True,30,30,0,0,0,30,0,OK
A,A02,WFG2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_WFG2_M3,True,30,30,0,0,0,30,0,OK
