Phase,ConfigID,ProblemTag,Folder,FolderExists,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,PrefixMismatch,MetricChecked,MetricMissing,Status
C,C01,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_ZDT1_M2,True,30,30,0,0,0,30,0,OK
C,C01,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_ZDT6_M2,True,30,30,0,0,0,30,0,OK
C,C01,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_WFG4_M2,True,30,30,0,0,0,30,0,OK
C,C01,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_WFG9_M2,True,30,30,0,0,0,30,0,OK
C,C01,DTLZ1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_DTLZ1_M3,True,30,30,0,0,0,30,0,OK
C,C01,DTLZ2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_DTLZ2_M3,True,30,30,0,0,0,30,0,OK
C,C01,DTLZ4_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_DTLZ4_M3,True,30,30,0,0,0,30,0,OK
C,C01,DTLZ7_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_DTLZ7_M3,True,30,30,0,0,0,30,0,OK
C,C01,WFG2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_WFG2_M3,True,30,30,0,0,0,30,0,OK
C,C01,WFG5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_WFG5_M3,True,30,30,0,0,0,30,0,OK
C,C01,MaF1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_MaF1_M3,True,30,30,0,0,0,30,0,OK
C,C01,MaF5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C01_MaF5_M3,True,30,30,0,0,0,30,0,OK
C,C02,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_ZDT1_M2,True,30,30,0,0,0,30,0,OK
C,C02,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_ZDT6_M2,True,30,30,0,0,0,30,0,OK
C,C02,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_WFG4_M2,True,30,30,0,0,0,30,0,OK
C,C02,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_WFG9_M2,True,30,30,0,0,0,30,0,OK
C,C02,DTLZ1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_DTLZ1_M3,True,30,30,0,0,0,30,0,OK
C,C02,DTLZ2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_DTLZ2_M3,True,30,30,0,0,0,30,0,OK
C,C02,DTLZ4_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_DTLZ4_M3,True,30,30,0,0,0,30,0,OK
C,C02,DTLZ7_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_DTLZ7_M3,True,30,30,0,0,0,30,0,OK
C,C02,WFG2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_WFG2_M3,True,30,30,0,0,0,30,0,OK
C,C02,WFG5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_WFG5_M3,True,30,30,0,0,0,30,0,OK
C,C02,MaF1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_MaF1_M3,True,30,30,0,0,0,30,0,OK
C,C02,MaF5_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C02_MaF5_M3,True,30,30,0,0,0,30,0,OK
C,C03,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_ZDT1_M2,True,30,30,0,0,0,30,0,OK
C,C03,ZDT6_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_ZDT6_M2,True,30,30,0,0,0,30,0,OK
C,C03,WFG4_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_WFG4_M2,True,30,30,0,0,0,30,0,OK
C,C03,WFG9_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_WFG9_M2,True,30,30,0,0,0,30,0,OK
C,C03,DTLZ1_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_DTLZ1_M3,True,30,30,0,0,0,30,0,OK
C,C03,DTLZ2_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_DTLZ2_M3,True,30,30,0,0,0,30,0,OK
C,C03,DTLZ4_M3,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseC/IVFSPEA2V2_C03_DTLZ4_M3,True,30,30,0,0,0,30,0,OK
