Phase,ConfigID,ProblemTag,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,Status
C,C02,ZDT1_M2,30,30,0,0,OK
C,C02,ZDT6_M2,30,30,0,0,OK
C,C02,WFG4_M2,30,30,0,0,OK
C,C02,WFG9_M2,30,30,0,0,OK
C,C02,DTLZ1_M3,30,30,0,0,OK
C,C02,DTLZ2_M3,30,30,0,0,OK
C,C02,DTLZ4_M3,30,30,0,0,OK
C,C02,DTLZ7_M3,30,30,0,0,OK
C,C02,WFG2_M3,30,30,0,0,OK
C,C02,WFG5_M3,30,30,0,0,OK
C,C02,MaF1_M3,30,30,0,0,OK
C,C02,MaF5_M3,30,30,0,0,OK
C,C05,ZDT1_M2,30,30,0,0,OK
C,C05,ZDT6_M2,30,30,0,0,OK
C,C05,WFG4_M2,30,30,0,0,OK
C,C05,WFG9_M2,30,30,0,0,OK
C,C05,DTLZ1_M3,30,30,0,0,OK
C,C05,DTLZ2_M3,30,30,0,0,OK
C,C05,DTLZ4_M3,30,30,0,0,OK
C,C05,DTLZ7_M3,30,30,0,0,OK
C,C05,WFG2_M3,30,30,0,0,OK
C,C05,WFG5_M3,30,30,0,0,OK
C,C05,MaF1_M3,30,30,0,0,OK
C,C05,MaF5_M3,30,30,0,0,OK
C,C08,ZDT1_M2,30,30,0,0,OK
C,C08,ZDT6_M2,30,30,0,0,OK
C,C08,WFG4_M2,30,30,0,0,OK
C,C08,WFG9_M2,30,30,0,0,OK
C,C08,DTLZ1_M3,30,30,0,0,OK
C,C08,DTLZ2_M3,30,30,0,0,OK
C,C08,DTLZ4_M3,30,30,0,0,OK
C,C08,DTLZ7_M3,30,30,0,0,OK
C,C08,WFG2_M3,30,30,0,0,OK
C,C08,WFG5_M3,30,30,0,0,OK
C,C08,MaF1_M3,30,30,0,0,OK
C,C08,MaF5_M3,30,30,0,0,OK
C,C11,ZDT1_M2,30,30,0,0,OK
C,C11,ZDT6_M2,30,30,0,0,OK
C,C11,WFG4_M2,30,30,0,0,OK
C,C11,WFG9_M2,30,30,0,0,OK
C,C11,DTLZ1_M3,30,30,0,0,OK
C,C11,DTLZ2_M3,30,30,0,0,OK
C,C11,DTLZ4_M3,30,30,0,0,OK
C,C11,DTLZ7_M3,30,30,0,0,OK
C,C11,WFG2_M3,30,30,0,0,OK
C,C11,WFG5_M3,30,30,0,0,OK
C,C11,MaF1_M3,30,30,0,0,OK
C,C11,MaF5_M3,30,30,0,0,OK
C,C14,ZDT1_M2,30,30,0,0,OK
C,C14,ZDT6_M2,30,30,0,0,OK
C,C14,WFG4_M2,30,30,0,0,OK
C,C14,WFG9_M2,30,30,0,0,OK
C,C14,DTLZ1_M3,30,30,0,0,OK
C,C14,DTLZ2_M3,30,30,0,0,OK
C,C14,DTLZ4_M3,30,30,0,0,OK
C,C14,DTLZ7_M3,30,30,0,0,OK
C,C14,WFG2_M3,30,30,0,0,OK
C,C14,WFG5_M3,30,30,0,0,OK
C,C14,MaF1_M3,30,30,0,0,OK
C,C14,MaF5_M3,30,30,0,0,OK
C,C17,ZDT1_M2,30,30,0,0,OK
C,C17,ZDT6_M2,30,30,0,0,OK
C,C17,WFG4_M2,30,30,0,0,OK
C,C17,WFG9_M2,30,30,0,0,OK
C,C17,DTLZ1_M3,30,30,0,0,OK
C,C17,DTLZ2_M3,30,30,0,0,OK
C,C17,DTLZ4_M3,30,30,0,0,OK
C,C17,DTLZ7_M3,30,30,0,0,OK
C,C17,WFG2_M3,30,30,0,0,OK
C,C17,WFG5_M3,30,30,0,0,OK
C,C17,MaF1_M3,30,30,0,0,OK
C,C17,MaF5_M3,30,30,0,0,OK
C,C20,ZDT1_M2,30,30,0,0,OK
C,C20,ZDT6_M2,30,30,0,0,OK
C,C20,WFG4_M2,30,30,0,0,OK
C,C20,WFG9_M2,30,30,0,0,OK
C,C20,DTLZ1_M3,30,30,0,0,OK
C,C20,DTLZ2_M3,30,30,0,0,OK
C,C20,DTLZ4_M3,30,30,0,0,OK
C,C20,DTLZ7_M3,30,30,0,0,OK
C,C20,WFG2_M3,30,30,0,0,OK
C,C20,WFG5_M3,30,30,0,0,OK
C,C20,MaF1_M3,30,30,0,0,OK
C,C20,MaF5_M3,30,30,0,0,OK
C,C23,ZDT1_M2,30,30,0,0,OK
C,C23,ZDT6_M2,30,30,0,0,OK
C,C23,WFG4_M2,30,30,0,0,OK
C,C23,WFG9_M2,30,30,0,0,OK
C,C23,DTLZ1_M3,30,30,0,0,OK
C,C23,DTLZ2_M3,30,30,0,0,OK
C,C23,DTLZ4_M3,30,30,0,0,OK
C,C23,DTLZ7_M3,30,30,0,0,OK
C,C23,WFG2_M3,30,30,0,0,OK
C,C23,WFG5_M3,30,30,0,0,OK
C,C23,MaF1_M3,30,30,0,0,OK
C,C23,MaF5_M3,30,30,0,0,OK
C,C26,ZDT1_M2,30,30,0,0,OK
C,C26,ZDT6_M2,30,30,0,0,OK
C,C26,WFG4_M2,30,30,0,0,OK
C,C26,WFG9_M2,30,30,0,0,OK
C,C26,DTLZ1_M3,30,30,0,0,OK
C,C26,DTLZ2_M3,30,30,0,0,OK
C,C26,DTLZ4_M3,30,30,0,0,OK
C,C26,DTLZ7_M3,30,30,0,0,OK
C,C26,WFG2_M3,30,30,0,0,OK
C,C26,WFG5_M3,30,30,0,0,OK
C,C26,MaF1_M3,30,30,0,0,OK
C,C26,MaF5_M3,30,30,0,0,OK
C,C29,ZDT1_M2,30,30,0,0,OK
C,C29,ZDT6_M2,30,30,0,0,OK
C,C29,WFG4_M2,30,30,0,0,OK
C,C29,WFG9_M2,30,30,0,0,OK
C,C29,DTLZ1_M3,30,30,0,0,OK
C,C29,DTLZ2_M3,30,30,0,0,OK
C,C29,DTLZ4_M3,30,30,0,0,OK
C,C29,DTLZ7_M3,30,30,0,0,OK
C,C29,WFG2_M3,30,30,0,0,OK
C,C29,WFG5_M3,30,30,0,0,OK
C,C29,MaF1_M3,30,30,0,0,OK
C,C29,MaF5_M3,30,30,0,0,OK
C,C32,ZDT1_M2,30,30,0,0,OK
C,C32,ZDT6_M2,30,30,0,0,OK
C,C32,WFG4_M2,30,30,0,0,OK
C,C32,WFG9_M2,30,30,0,0,OK
C,C32,DTLZ1_M3,30,30,0,0,OK
C,C32,DTLZ2_M3,30,30,0,0,OK
C,C32,DTLZ4_M3,30,30,0,0,OK
C,C32,DTLZ7_M3,30,30,0,0,OK
C,C32,WFG2_M3,30,30,0,0,OK
C,C32,WFG5_M3,30,30,0,0,OK
C,C32,MaF1_M3,30,30,0,0,OK
C,C32,MaF5_M3,30,30,0,0,OK
C,C35,ZDT1_M2,30,30,0,0,OK
C,C35,ZDT6_M2,30,30,0,0,OK
C,C35,WFG4_M2,30,30,0,0,OK
C,C35,WFG9_M2,30,30,0,0,OK
C,C35,DTLZ1_M3,30,30,0,0,OK
C,C35,DTLZ2_M3,30,30,0,0,OK
C,C35,DTLZ4_M3,30,30,0,0,OK
C,C35,DTLZ7_M3,30,30,0,0,OK
C,C35,WFG2_M3,30,30,0,0,OK
C,C35,WFG5_M3,30,30,0,0,OK
C,C35,MaF1_M3,30,30,0,0,OK
C,C35,MaF5_M3,30,30,0,0,OK
