Phase,ConfigID,ProblemTag,Folder,FolderExists,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,PrefixMismatch,MetricChecked,MetricMissing,Status
A,A01,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A01_ZDT1_M2,True,1,1,0,0,0,1,0,OK
A,A02,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A02_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A03,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A03_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A04,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A04_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A05,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A05_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A06,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A06_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A07,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A07_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A08,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A08_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A09,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A09_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A10,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A10_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A11,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A11_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A12,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A12_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
A,A13,ZDT1_M2,/home/pedro/desenvolvimento/ivfspea2/data/tuning_ivfspea2v2/phaseA/IVFSPEA2V2_A13_ZDT1_M2,False,1,0,1,0,0,0,0,MISSING_FOLDER
