Problema,IVFSPEA2,SPEA2,MFOSPEA2,SPEA2SDE,NSGAII,NSGAIII,MOEAD,AGEMOEAII,ARMOEA
DTLZ1,2.0,3.0,4.0,8.0,9.0,7.0,6.0,1.0,5.0
DTLZ2,2.0,4.0,3.0,9.0,8.0,6.0,5.0,1.0,7.0
DTLZ3,2.0,3.0,4.0,9.0,8.0,6.0,5.0,1.0,7.0
DTLZ4,3.0,6.0,5.0,9.0,8.0,2.0,1.0,7.0,4.0
DTLZ5,1.0,3.0,2.0,6.0,5.0,8.0,9.0,7.0,4.0
DTLZ6,1.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,4.0
DTLZ7,2.0,4.0,3.0,1.0,8.0,7.0,9.0,5.0,6.0
WFG1,5.0,6.0,4.0,7.0,8.0,1.0,9.0,3.0,2.0
WFG2,6.0,4.0,3.0,7.0,8.0,2.0,9.0,5.0,1.0
WFG3,3.0,5.0,7.0,1.0,4.0,6.0,9.0,2.0,8.0
WFG4,1.0,3.0,4.0,9.0,8.0,6.0,7.0,2.0,5.0
WFG5,1.0,3.0,2.0,9.0,8.0,5.0,7.0,6.0,4.0
WFG6,3.0,5.0,6.0,9.0,8.0,2.0,7.0,1.0,4.0
WFG7,1.0,3.0,4.0,9.0,7.0,5.0,8.0,2.0,6.0
WFG8,4.0,5.0,6.0,8.0,9.0,2.0,7.0,3.0,1.0
WFG9,1.0,3.0,4.0,9.0,8.0,6.0,7.0,2.0,5.0
MaF1,2.0,3.0,4.0,5.0,7.0,8.0,9.0,1.0,6.0
MaF2,3.0,5.0,2.0,4.0,9.0,7.0,8.0,1.0,6.0
MaF3,1.0,2.0,3.0,9.0,8.0,6.0,7.0,4.0,5.0
MaF4,1.0,3.0,2.0,8.0,5.0,6.0,9.0,4.0,7.0
MaF5,3.0,2.0,1.0,9.0,8.0,6.0,7.0,4.0,5.0
MaF6,1.0,3.0,2.0,7.0,5.0,8.0,9.0,6.0,4.0
MaF7,2.0,3.0,4.0,1.0,8.0,7.0,9.0,5.0,6.0
