instance,corr_obj_mean,conflict_degree,skewness_mean,kurtosis_mean,cv_mean,cv_max,prop_nondominated,dom_depth_mean,dom_depth_std,n_nondominated,front_n_clusters,front_connectivity,front_diameter,front_gap_ratio,front_curvature_var,autocorr_mean,autocorr_min,info_content,neutrality_ratio,fdc_mean,n_obj,n_var
ZDT1_M2,0.00974451012752859,0.00603134254710969,0.0439593031140303,0.020144585017893,0.0012385880412745,1.42054670651678e-05,0.240661588760715,0.018299667683562,0.0137898597295713,0.240661588760715,0.248451997499977,0,0.329690236697893,1.06462915209073,0.120717835143075,0.00149358512958666,0.00264783184873981,0.000293922980579512,0,0.0974198637955895,0,0
ZDT2_M2,0.128340358001622,0.0235181299958725,6.38447709275455,0.023409016798142,0.00127392590284781,1.40227422351121e-05,0.408248290463863,0.0116747568807524,0.0183130948123877,0.408248290463863,0.372677996249965,0,0.464811125852264,1.27959911316141,0.297199290463284,0.00650434013624323,0.013214542819189,0.000941395304531269,0,0.108198482034039,0,0
ZDT3_M2,0.00915141074097129,0.00605710224901758,0.194193733641543,0.00881406236713177,0.00339342552546163,8.83876255357642e-06,0.134624862531663,0.00810263577421018,0.0127673103951622,0.134624862531663,0.353553390593274,0,0.224800082938022,0.282939919115312,0.419813122588698,0.00666276424055245,0.00686670129456942,0.00150107815594902,0,0.0698376536798686,0,0
ZDT4_M2,0.07053994564961,0.0204754102983521,0.663242871021336,0.0120173242432181,0.00318847446279053,1.21543467570325e-05,0.294140434216927,0.00519754270877819,0.0113721370524653,0.294140434216927,0,0,0.353553390593274,0.849454490719084,0.292283581700415,0.00400369223937592,0.0054646429674631,0.0183939886385471,0,0.145934302789578,0,0
ZDT6_M2,0.221067911739554,0.0133642561457377,0.0221106819184126,0.0147895131936038,0.000928812098176846,0.000469149773868022,0.0486101734239085,0.00429331088137088,0.0139502373367849,0.0486101734239085,0,0,0,0.38937677139315,0.275000844302054,0.00239138748230914,0.00362275829638127,0.0322758410298518,1.49071198499986,0.0569105198315692,0,0
DTLZ1_M2,0.00789679856813015,0.00470618883900856,0.0259217854730465,0.0115506881330236,0.00665017542186644,0.00715410867828162,0.243551082177086,0.00535353504281556,0.0116299638639421,0.243551082177086,0.372677996249965,0,0.342326598440729,0.756159087697936,0.615230713488292,0.00591961661373071,0.00813622573462301,0.000571492977124063,0,0.0639883000554101,0,0
DTLZ1_M3,0.0175101774099449,0.00570349637454038,0.0173275623875803,0.0161075153295578,0.00559575415261457,0.0116596245978957,0.232396584711958,0.0237033523476757,0.0307236656004349,0.232396584711958,0.176776695296637,0,0.21858390979172,0.488259171070647,0.359417478452288,0.00902639810475665,0.00788966399880828,0.00448178547528278,0,0.188521078577436,0,0
DTLZ2_M2,0.0038386411855511,0.0068314988009893,0.0551929437704247,0.00686947935131085,0.00195032354480261,0.00456395279297617,0.187457034327546,0.0124395172128898,0.0181544075248634,0.187457034327546,0.353553390593274,0,0.236964857626611,0.167816773878474,0.234984365941128,0.00376695895439419,0.0040230132635408,0.00479716060382249,2.23606797749979,0.0550597163106554,0,0
DTLZ2_M3,0.0102531299576244,0.00421371901880353,0.0340973210027492,0.00796003778171164,0.00120005504953007,0.00572499491362007,0.115887584845438,0.0256817831774509,0.0161347897493295,0.115887584845438,0.309505120165369,0.0530102322252105,0.128372474415273,0.238631633015548,0.0847023664729296,0.00194095119186605,0.00204507683257099,0.00109451148192176,0,0.0434731825057228,0,0
DTLZ3_M2,0.0238828062521933,0.0123995889024759,0.699387474339461,0.00957168412519159,0.00246491431812053,0.00440413918512385,0.356304820343481,0.0215080729687534,0.02265461310246,0.356304820343481,0.464811125852264,0,0.545647843391788,0.34714023367083,0.366699318559116,0.00613601729026593,0.00483180321865544,0.000778871326333049,0,0.0756703091200707,0,0
DTLZ3_M3,0.0328807075129931,0.0061108762862817,0.0257370722990095,0.0120249330450584,0.00168599357872737,0.00574792057760568,0.187810542235565,0.0368660195990358,0.0449918821346568,0.187810542235565,0.316227766016838,0,0.239809675692111,0.149274538123145,0.282516501875033,0.00572317819717664,0.00782693785716482,0.00138620189926979,0,0.196749383588189,0,0
DTLZ4_M2,0.432684456994935,0.0162650525124633,0.0278595367490048,0.0520905593697713,0.00772895636478652,0.00800775708668596,0.124874630825981,0.0110318786799655,0.00895468402687626,0.124874630825981,0.391230398217976,0,0.139754248593737,0.516874786564035,0.363460553994581,0.37676458849648,1.36954953000836,0.000631647625383872,0.407450150325166,0.0755074258892234,0,0
DTLZ4_M3,0.587050635206344,0.012401557816341,0.0135097657632569,0.0241757302996479,0.00512927171596261,0.00612641793614685,0.206738532606118,0.0314013880928297,0.0275454473608941,0.206738532606118,0.342326598440729,0.0836313709102178,0.184557358794281,0.303597679535343,0.674084755167896,0.617272373290978,2.23606797749979,0.000539176269099711,0.52704627669473,0.0270727308403019,0,0
