cycle_key,case_id,panel_role,display_label,child_index,parent_distance_obj,mother_mutated,selected_child,selected_child_fitness_after_env,child_pf_distance,best_parent_pf_distance,delta_to_pf,child_outcome,mother_f1,mother_f2,father_f1,father_f2,child_f1,child_f2,mother_f3,father_f3,child_f3
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),1,1.2710271584479573,False,False,,0.7508214443106087,0.24345991483191323,0.5073615294786955,harmful,1.2434596713693227,1.268077904835278e-25,2.51448682981728,0.0,1.750820693487623,1.785483749782677e-25,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),2,0.95946355765316,False,False,,0.8522772837717136,0.39349366993851936,0.45878361383319427,harmful,1.3934932764428818,1.3442184495307522e-33,2.352956834096042,9.933494148823061e-262,1.8522764314929168,9.20016223596052e-34,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),3,1.0931905343542783,False,True,103.48954010283195,0.512861872680329,0.4212967167616162,0.09156515591871284,harmful,1.4212962954630017,3.9965453988022794e-46,2.51448682981728,0.0,1.5128613598167249,6.507940030293443e-47,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),4,0.8976299528103153,False,True,464.47923026331733,1.137309983389009,0.455327336614889,0.68198264677412,harmful,1.4553268812857265,0.0,2.352956834096042,9.933494148823061e-262,2.1373088460775174,1.4038024050002341e-261,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),5,1.203802346896975,False,True,268.4881321454117,1.2309796784193425,0.3106847936073635,0.920294884811979,harmful,1.310684482920305,1.3366336450392535e-25,2.51448682981728,0.0,2.2309784474381424,0.0,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),6,1.1025215189055544,False,False,,1.076757739964708,0.4119657228793683,0.6647920170853396,harmful,1.4119653109117256,7.858403032929035e-30,2.51448682981728,0.0,2.0767566632054653,5.726550649551455e-31,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),7,1.1252418458964062,False,False,,1.1485614720489281,0.3892453731682264,0.7593160988807017,harmful,1.3892449839208738,4.0789152593233436e-20,2.51448682981728,0.0,2.1485603234859463,1.1911103144385446e-20,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),8,1.1108972723312818,False,True,289.463514208974,1.387880944103706,0.40358996107790024,0.9842909830258059,harmful,1.4035895574859982,3.1530503716832154e-21,2.51448682981728,0.0,2.3878795562212076,0.0,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),9,0.8192420693175781,True,True,446.47196443941124,1.0298343889431514,0.5337152984954661,0.4961190904476853,harmful,1.5337147647784637,6.474894235679185e-262,2.352956834096042,9.933494148823061e-262,2.0298333591072617,8.569361538467911e-262,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),10,0.9588919039145996,True,True,277.48282869592197,1.2713734828184038,0.5555954814998398,0.715778001318564,harmful,1.5555949259026804,0.0,2.51448682981728,0.0,2.271372211443392,0.0,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),11,0.9030723036179402,True,False,,1.279605308047226,0.4498849803649186,0.8297203276823075,harmful,1.4498845304781016,1.0089865796923971e-28,2.352956834096042,9.933494148823061e-262,2.2796040284403873,5.203302057249984e-28,,,
bimodal_dtlz4_m2__run9008__g0002__c1,bimodal_dtlz4_m2,bimodal_bad,DTLZ4 (M=2),12,1.0242551850446244,True,True,284.4832385785369,1.2933609157693977,0.49023213500655577,0.803128780762842,harmful,1.4902316447726556,5.131264154983417e-43,2.51448682981728,0.0,2.293359622406949,0.0,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),1,0.6804641548790931,False,False,,0.00032798785100739684,0.0002082949563707462,0.00011969289463665064,harmful,0.77908353394607,0.6269221559072221,0.19756677768867204,0.9802912664236796,0.7790846632999148,0.6269230646890359,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),2,0.6976248065902966,False,False,,5.184759246416101e-05,0.0001853289071747803,-0.0001334813147106193,beneficial,0.7904185410056778,0.6125860074157812,0.19756677768867204,0.9802912664236796,0.17980792287125555,0.9837035910810072,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),3,0.6162606976878034,False,False,,0.0003360130338524921,0.00033600263468236023,1.0399170131893294e-08,harmful,0.8095040776942308,0.5871671803364771,0.31155220898678115,0.9502390519616651,0.3115523206065437,0.950239392403621,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),4,0.6014086294789636,False,True,0.4877088545944555,0.00031355931344071065,0.00031355973488294506,-4.2144223440926387e-10,beneficial,0.8002324055757757,0.599690902524948,0.31155220898678115,0.9502390519616651,0.8002321650270755,0.5996907222587328,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),5,0.641285827804832,False,False,,0.0002900308566889872,0.00033600263468236023,-4.597177799337302e-05,beneficial,0.8247981296154941,0.5657574036332782,0.31155220898678115,0.9502390519616651,0.8242939988922506,0.5664926390898634,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),6,0.6654646276879796,False,False,,0.00040856797601780237,0.0002082949563707462,0.00020027301964705617,harmful,0.7689988454960079,0.6392508544702961,0.19756677768867204,0.9802912664236796,0.7689989664867221,0.6392509550470626,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),7,0.7669916260720594,False,True,0.48480026287037614,0.00020829471299669473,0.0002082949563707462,-2.433740514619278e-10,beneficial,0.8338452628860299,0.5520088318788837,0.19756677768867204,0.9802912664236796,0.19756677214615545,0.9802912389226964,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),8,0.7365797209643838,False,True,0.4850421146760116,7.951194290767608e-05,0.00017369058677325623,-9.417864386558015e-05,beneficial,0.8152808619356445,0.5790693883326491,0.19756677768867204,0.9802912664236796,0.1826065042590351,0.9831896122747241,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),9,0.8332666318824037,True,True,0.48220859271705196,0.00024196104474150578,0.00024196653344432144,-5.488702815653005e-09,beneficial,0.4854938170276092,0.8743377207990827,0.9791713501415186,0.2030585142782713,0.9791710630288165,0.2030584547374374,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),10,0.781472291741364,True,False,,0.0001526860737098202,0.000159987479846814,-7.301406136993804e-06,beneficial,0.8424080856898769,0.5388406686725894,0.19756677768867204,0.9802912664236796,0.12164807596933576,0.992574634549486,,,
bimodal_dtlz4_m2__run9026__g0244__c1,bimodal_dtlz4_m2,bimodal_good,DTLZ4 (M=2),11,0.7959910988560985,True,False,,0.0075489390044800155,0.00020783912303640994,0.007341099881443606,harmful,0.8508162327173054,0.5254649490640387,0.19756677768867204,0.9802912664236796,0.8572358153019426,0.5294296896344852,,,
